application,process,environment,variable_name,classification,required,owner,consumer_path,kv_path,rotation_strategy
tiendi-api,runtime,dev,DATABASE_URL,backend-secret,required,tiendi-api owners,src/config/env.validation.ts:18; prisma/schema.prisma:7,secret/dev/apps/tiendi-api/runtime,on-exposure + 90d review
tiendi-api,runtime,dev,JWT_SECRET,backend-secret,required,tiendi-api owners,src/modules/auth/auth.service.ts:595,secret/dev/apps/tiendi-api/runtime,rotate invalidates sessions; coordinate with clients
tiendi-api,runtime,dev,JWT_REFRESH_SECRET,backend-secret,required,tiendi-api owners,src/modules/auth/auth.service.ts:600,secret/dev/apps/tiendi-api/runtime,rotate invalidates refresh tokens
tiendi-api,runtime,dev,METRICS_SECRET,backend-secret,required,tiendi-api owners,src/main.ts:78 (unvalidated by Zod),secret/dev/apps/tiendi-api/runtime,rotate on-exposure; add to env.validation
tiendi-api,runtime,dev,CULQI_SECRET_KEY,backend-secret,optional,tiendi-api owners,src/modules/payments/culqi.service.ts:35,secret/dev/apps/tiendi-api/runtime,per-provider; rotate on-exposure
tiendi-api,runtime,dev,CULQI_WEBHOOK_SECRET,backend-secret,optional,tiendi-api owners,src/modules/payments/payments.service.ts:30,secret/dev/apps/tiendi-api/runtime,per-provider; rotate on-exposure
tiendi-api,runtime,dev,CLOUDINARY_API_SECRET,service-integration,optional,tiendi-api owners,src/services/cloudinary.service.ts:15,secret/dev/apps/tiendi-api/runtime,per-provider
tiendi-api,runtime,dev,SENDGRID_API_KEY,service-integration,optional,tiendi-api owners,src/modules/notifications/email.service.ts:38,secret/dev/apps/tiendi-api/runtime,per-provider; rotate on-exposure
tiendi-api,runtime,dev,SMTP_PASS,backend-secret,optional,tiendi-api owners,src/modules/notifications/email.service.ts:41,secret/dev/apps/tiendi-api/runtime,per-provider; rotate on-exposure
tiendi-api,runtime,dev,SMTP_USER,identity-private,optional,tiendi-api owners,src/modules/notifications/email.service.ts:40,secret/dev/apps/tiendi-api/runtime,rotate with SMTP_PASS
tiendi-api,runtime,dev,TWILIO_ACCOUNT_SID,identity-private,optional,tiendi-api owners,src/modules/notifications/whatsapp.service.ts:18,secret/dev/apps/tiendi-api/runtime,per-provider
tiendi-api,runtime,dev,TWILIO_AUTH_TOKEN,backend-secret,optional,tiendi-api owners,src/modules/notifications/whatsapp.service.ts:19,secret/dev/apps/tiendi-api/runtime,per-provider; rotate on-exposure
tiendi-api,runtime,dev,TWILIO_VERIFY_SERVICE_SID,service-integration,optional,tiendi-api owners,validated only (env.validation.ts),secret/dev/apps/tiendi-api/runtime,per-provider
tiendi-api,runtime,dev,TWILIO_WHATSAPP_NUMBER,non-secret-config,optional,tiendi-api owners,src/modules/notifications/whatsapp.service.ts:20,STAY-IN-ENV (public config),n/a
tiendi-api,runtime,dev,TWILIO_PHONE_NUMBER,non-secret-config,optional,tiendi-api owners,src/services/twilio.service.ts:53 (unvalidated),STAY-IN-ENV (public config),n/a
tiendi-api,runtime,dev,FIREBASE_PRIVATE_KEY,backend-secret,optional,tiendi-api owners,src/services/firebase.service.ts:20,secret/dev/apps/tiendi-api/runtime,per-provider (Google service account); PEM multiline; fix broken .env block first
tiendi-api,runtime,dev,FIREBASE_CLIENT_EMAIL,identity-private,optional,tiendi-api owners,src/services/firebase.service.ts:18,secret/dev/apps/tiendi-api/runtime,rotate with service account
tiendi-api,runtime,dev,FIREBASE_PROJECT_ID,public-identifier,optional,tiendi-api owners,src/services/firebase.service.ts:12,STAY-IN-ENV (public identifier),n/a
tiendi-api,runtime,dev,GOOGLE_CLIENT_SECRET,backend-secret,optional,tiendi-api owners,validated only (env.validation.ts),secret/dev/apps/tiendi-api/runtime,per-provider
tiendi-api,runtime,dev,GOOGLE_CLIENT_ID,public-identifier,optional,tiendi-api owners,validated only (env.validation.ts),STAY-IN-ENV (public identifier),n/a
tiendi-api,runtime,dev,GOOGLE_CALLBACK_URL,non-secret-config,optional,tiendi-api owners,validated only (env.validation.ts),STAY-IN-ENV (public config),n/a
tiendi-api,runtime,dev,GOOGLE_MAPS_API_KEY,backend-secret,optional,tiendi-api owners,src/services/google-maps.service.ts:14,secret/dev/apps/tiendi-api/runtime,per-provider; server-side key; rotate on-exposure
tiendi-api,runtime,dev,PAYOUT_BANK_NAME,identity-private,optional,tiendi-api owners,src/modules/settlement/settlement.service.ts:242,secret/dev/apps/tiendi-api/runtime,manual review
tiendi-api,runtime,dev,PAYOUT_BANK_HOLDER_NAME,identity-private,optional,tiendi-api owners,src/modules/settlement/settlement.service.ts:243,secret/dev/apps/tiendi-api/runtime,manual review
tiendi-api,runtime,dev,PAYOUT_BANK_ACCOUNT_NUMBER,identity-private,optional,tiendi-api owners,src/modules/settlement/settlement.service.ts:244,secret/dev/apps/tiendi-api/runtime,manual review
tiendi-api,runtime,dev,PAYOUT_BANK_CCI,identity-private,optional,tiendi-api owners,src/modules/settlement/settlement.service.ts:245,secret/dev/apps/tiendi-api/runtime,manual review
tiendi-api,runtime,dev,SHIELD_JWT_SECRET,backend-secret,optional,tiendi-api owners,src/modules/shield-identity/*; guards/shield-jwt.guard.ts:44,secret/dev/apps/tiendi-api/runtime,dedicated Shield signing key; rotate invalidates Shield sessions
tiendi-api,runtime,dev,SENTRY_DSN,public-identifier,optional,tiendi-api owners,src/instrument.ts:3,STAY-IN-ENV (public ingest DSN),n/a
